title,release,director,budget,opening,gross,worldwide_gross,metacritic_score,mpaa_rating,budget_mil,opening_mil,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,leadActor
Their Finest,2017-04-07,Lone Scherfig,76197,3603484,12597262,,76,R,0.076197,3.603484,tt1661275,movie,Their Finest,Their Finest,0,2016,117,Comedy,6.8,18302,nm0439563
The Revenant,2016-01-08,Alejandro G. Iñárritu,135000000,474560,183637894,532950503,76,R,135.0,0.47456,tt1663202,movie,The Revenant,The Revenant,0,2015,156,Action,8.0,716949,nm0586969
All Eyez on Me,2017-06-16,Benny Boom,40000000,26435354,44922302,55668698,38,R,40.0,26.435354,tt1666185,movie,All Eyez on Me,All Eyez on Me,0,2017,139,Biography,5.9,21465,nm4314223
Ready Player One,2018-03-29,Steven Spielberg,175000000,41764050,137690172,582893671,64,PG-13,175.0,41.76405,tt1677720,movie,Ready Player One,Ready Player One,0,2018,140,Action,7.4,377187,nm2252124
Trolls,2016-11-04,Mike Mitchell,125000000,46581142,153707064,346864886,55,PG,125.0,46.581142,tt1679335,movie,Trolls,Trolls,0,2016,92,Adventure,6.5,73440,nm0230666
Before I Fall,2017-03-03,Ry Russo-Young,5000000,4690214,12241122,16373843,58,PG-13,5.0,4.690214,tt1691916,movie,Before I Fall,Before I Fall,0,2017,98,Drama,6.5,47168,nm0005367
Sausage Party,2016-08-12,Greg Tiernan,19000000,34263534,97685686,140705322,66,R,19.0,34.263534,tt1700841,movie,Sausage Party,Sausage Party,0,2016,89,Adventure,6.1,178226,nm0970447
Triple 9,2016-02-26,John Hillcoat,20000000,6109085,12639297,23177948,52,R,20.0,6.109085,tt1712261,movie,Triple 9,Triple 9,0,2016,115,Action,6.3,67821,nm2251559
Scouts Guide to the Zombie Apocalypse,2015-10-30,Christopher Landon,15000000,1841007,3703046,16137046,32,R,15.0,1.841007,tt1727776,movie,Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,0,2015,93,Action,6.3,46059,nm0275698
Bohemian Rhapsody,2018-11-02,Bryan Singer,52000000,51061119,216668042,904475284,49,PG-13,52.0,51.061119,tt1727824,movie,Bohemian Rhapsody,Bohemian Rhapsody,0,2018,134,Biography,8.0,463336,nm0454752
The Zookeeper's Wife,2017-04-07,Niki Caro,20000000,3288835,17571660,26152835,57,PG-13,20.0,3.288835,tt1730768,movie,The Zookeeper's Wife,The Zookeeper's Wife,0,2017,127,Biography,7.0,39309,nm5269491
Secret in Their Eyes,2015-11-20,Billy Ray,19500000,6652996,20180155,34854990,45,PG-13,19.5,6.652996,tt1741273,movie,Secret in Their Eyes,Secret in Their Eyes,0,2015,111,Crime,6.3,44706,nm3160078
A Dog's Purpose,2017-01-27,Lasse Hallström,22000000,18222810,64508620,205035819,43,PG,22.0,18.22281,tt1753383,movie,A Dog's Purpose,A Dog's Purpose,0,2017,100,Adventure,7.2,66558,nm0585243
