title,release,startYear,top3_actors
While We're Young,2015-04-17,2014,"['Naomi Watts', 'Ben Stiller', 'Maria Dizzia']"
Unfriended,2015-04-17,2014,"['Heather Sossaman', 'Matthew Bohrer', 'Courtney Halverson']"
Skin Trade,2015-04-23,2014,"['Dolph Lundgren', 'Tony Jaa', 'Michael Jai White']"
Little Boy,2015-04-24,2015,"['Jakob Salvati', 'Emily Watson', 'David Henrie']"
The Age of Adaline,2015-04-24,2015,"['Blake Lively', 'Michiel Huisman', 'Harrison Ford']"
Ex Machina,2015-04-24,2014,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac']"
Child 44,2015-04-29,2015,"['Xavier Atkins', 'Mark Lewis Jones', 'Tom Hardy']"
Avengers: Age of Ultron,2015-05-01,2015,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
Hot Pursuit,2015-05-08,2015,"['Reese Witherspoon', 'Sofía Vergara', 'Matthew Del Negro']"
Mad Max: Fury Road,2015-05-15,2015,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']"
Area 51,2015-05-15,2015,"['Reid Warner', 'Darrin Bragg', 'Ben Rovner']"
Tomorrowland,2015-05-22,2015,"['George Clooney', 'Hugh Laurie', 'Britt Robertson']"
Aloha,2015-05-29,2015,"['Bradley Cooper', 'Emma Stone', 'Rachel McAdams']"
San Andreas,2015-05-29,2015,"['Dwayne Johnson', 'Carla Gugino', 'Alexandra Daddario']"
Insidious: Chapter 3,2015-06-05,2015,"['Dermot Mulroney', 'Stefanie Scott', 'Angus Sampson']"
Jurassic World,2015-06-12,2015,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']"
Infinitely Polar Bear,2015-06-19,2014,"['Mark Ruffalo', 'Zoe Saldana', 'Imogene Wolodarsky']"
Inside Out,2015-06-19,2015,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']"
Love & Mercy,2015-06-19,2014,"['Paul Dano', 'John Cusack', 'Elizabeth Banks']"
Dope,2015-06-19,2015,"['ASAP Rocky', 'Blake Anderson', 'Bruce Beatty']"
Max,2015-06-26,2015,"['Thomas Haden Church', 'Josh Wiggins', 'Luke Kleintank']"
Escobar: Paradise Lost,2015-06-26,2014,"['Josh Hutcherson', 'Benicio Del Toro', 'Brady Corbet']"
Terminator Genisys,2015-07-01,2015,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke']"
Magic Mike XXL,2015-07-01,2015,"['Channing Tatum', 'Juan Piedrahita', 'Sharon Blackwood']"
The Gallows,2015-07-10,2015,"['Reese Mishler', 'Pfeifer Brown', 'Ryan Shoos']"
Minions,2015-07-10,2015,"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']"
Strangerland,2015-07-10,2015,"['Nicole Kidman', 'Joseph Fiennes', 'Hugo Weaving']"
Tangerine,2015-07-10,2015,"['Kitana Kiki Rodriguez', 'Mya Taylor', 'Karren Karagulian']"
Self/less,2015-07-10,2015,"['Ryan Reynolds', 'Natalie Martinez', 'Matthew Goode']"
Ant-Man,2015-07-17,2015,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly']"
Gloria,2015-07-17,2014,"['Matthew Broderick', 'Denzel Washington', 'Cary Elwes']"
Trainwreck,2015-07-17,2015,"['Colin Quinn', 'Devin Fabry', 'Carla Oudin']"
Pixels,2015-07-24,2015,"['Adam Sandler', 'Kevin James', 'Michelle Monaghan']"
Southpaw,2015-07-24,2015,"['Jake Gyllenhaal', 'Rachel McAdams', 'Forest Whitaker']"
Paper Towns,2015-07-24,2015,"['Nat Wolff', 'Cara Delevingne', 'Austin Abrams']"
The Young and Prodigious T.S. Spivet,2015-07-31,2013,"['Helena Bonham Carter', 'Judy Davis', 'Callum Keith Rennie']"
Mission: Impossible - Rogue Nation,2015-07-31,2015,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']"
Shaun the Sheep Movie,2015-08-05,2015,"['Justin Fletcher', 'John Sparkes', 'Omid Djalili']"
The Gift,2015-08-07,2015,"['Jason Bateman', 'Rebecca Hall', 'Joel Edgerton']"
Ricki and the Flash,2015-08-07,2015,"['Meryl Streep', 'Rick Springfield', 'Rick Rosas']"
Fantastic Four,2015-08-07,2015,"['Miles Teller', 'Michael B. Jordan', 'Kate Mara']"
Irrational Man,2015-08-07,2015,"['Joaquin Phoenix', 'Emma Stone', 'Joe Stapleton']"
The Man from U.N.C.L.E.,2015-08-14,2015,"['Henry Cavill', 'Armie Hammer', 'Alicia Vikander']"
Once I Was a Beehive,2015-08-14,2015,"['Paris Warner', 'Lisa Clark', 'Hailey Smith']"
Straight Outta Compton,2015-08-14,2015,"[""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell']"
Sinister 2,2015-08-21,2015,"['James Ransone', 'Shannyn Sossamon', 'Robert Daniel Sloan']"
Hitman: Agent 47,2015-08-21,2015,"['Angelababy', 'Dan Bakkedahl', 'Charlene Beck']"
Unsullied,2015-08-28,2014,"['Rusty Joiner', 'Murray Gray', 'James Gaudioso']"
We Are Your Friends,2015-08-28,2015,"['Zac Efron', 'Wes Bentley', 'Emily Ratajkowski']"
The Diary of a Teenage Girl,2015-08-28,2015,"['Bel Powley', 'Willie', 'Kristen Wiig']"
A Walk in the Woods,2015-09-02,2015,"['Robert Redford', 'Nick Nolte', 'Emma Thompson']"
The Transporter Refueled,2015-09-04,2015,"['Ed Skrein', 'Ray Stevenson', 'Loan Chabanol']"
The Visit,2015-09-11,2015,"['Olivia DeJonge', 'Ed Oxenbould', 'Deanna Dunagan']"
Captive,2015-09-18,2015,"['Elle Graham', 'Kate Mara', 'Claudia Church']"
Black Mass,2015-09-18,2015,"['Johnny Depp', 'Joel Edgerton', 'Benedict Cumberbatch']"
Maze Runner: The Scorch Trials,2015-09-18,2015,"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario']"
Hotel Transylvania 2,2015-09-25,2015,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez']"
Everest,2015-09-25,2015,"['Jason Clarke', 'Ang Phula Sherpa', 'Thomas M. Wright']"
Pawn Sacrifice,2015-09-25,2014,"['Tobey Maguire', 'Liev Schreiber', 'Michael Stuhlbarg']"
Z for Zachariah,2015-09-30,2015,"['Chiwetel Ejiofor', 'Margot Robbie', 'Chris Pine']"
Sicario,2015-10-02,2015,"['Emily Blunt', 'Benicio Del Toro', 'Josh Brolin']"
The Martian,2015-10-02,2015,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig']"
The Walk,2015-10-09,2015,"['Joseph Gordon-Levitt', 'Guillaume Baillargeon', 'Émilie Leclerc']"
Pan,2015-10-09,2015,"['Hugh Jackman', 'Levi Miller', 'Garrett Hedlund']"
Bridge of Spies,2015-10-16,2015,"['Mark Rylance', 'Domenick Lombardozzi', 'Victor Verhaeghe']"
The Lobster,2015-10-16,2015,"['Jacqueline Abrahams', 'Roger Ashton-Griffiths', 'Jessica Barden']"
Woodlawn,2015-10-16,2015,"['Sean Astin', 'Nic Bishop', 'Caleb Castille']"
Goosebumps,2015-10-16,2015,"['Jack Black', 'Dylan Minnette', 'Odeya Rush']"
Crimson Peak,2015-10-16,2015,"['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston']"
Rock the Kasbah,2015-10-23,2015,"['Bill Murray', 'Bruce Willis', 'Kate Hudson']"
The Last Witch Hunter,2015-10-23,2015,"['Vin Diesel', 'Rose Leslie', 'Elijah Wood']"
Jem and the Holograms,2015-10-23,2015,"['Aubrey Peeples', 'Stefanie Scott', 'Aurora Perrineau']"
Scouts Guide to the Zombie Apocalypse,2015-10-30,2015,"['Tye Sheridan', 'Logan Miller', 'Joey Morgan']"
Truth,2015-10-30,2015,"['Cate Blanchett', 'Robert Redford', 'Topher Grace']"
Spectre,2015-11-06,2015,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']"
The Peanuts Movie,2015-11-06,2015,"['Trombone Shorty', 'Rebecca Bloom', 'Anastasia Bredikhina']"
Heist,2015-11-11,2015,"['Robert De Niro', 'Jeffrey Dean Morgan', 'Dave Bautista']"
The 33,2015-11-13,2015,"['Antonio Banderas', 'Rodrigo Santoro', 'Juliette Binoche']"
Love the Coopers,2015-11-13,2015,"['Steve Martin', 'Diane Keaton', 'John Goodman']"
My All-American,2015-11-13,2015,"['Aaron Eckhart', 'Finn Wittrock', 'Rett Terrell']"
Secret in Their Eyes,2015-11-20,2015,"['Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts']"
Spotlight,2015-11-20,2015,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']"
Song of the Sea,2015-11-20,2014,"['David Rawle', 'Brendan Gleeson', 'Lisa Hannigan']"
The Hunger Games: Mockingjay - Part 2,2015-11-20,2015,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']"
Legend,2015-11-20,2015,"['Paul Anderson', 'Tom Hardy', 'Christopher Eccleston']"
Victor Frankenstein,2015-11-25,2015,"['Daniel Radcliffe', 'Jessica Brown Findlay', 'Bronson Webb']"
The Good Dinosaur,2015-11-25,2015,"['Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla']"
Trumbo,2015-11-27,2015,"['Bryan Cranston', 'Michael Stuhlbarg', 'David Maldonado']"
Krampus,2015-12-04,2015,"['Emjay Anthony', 'Adam Scott', 'Toni Collette']"
Youth,2015-12-04,2015,"['The Retrosettes', 'Gabriella Belisario', 'Laura De Marchi']"
Macbeth,2015-12-11,2015,"['Jack Madigan', 'Frank Madigan', 'Michael Fassbender']"
In the Heart of the Sea,2015-12-11,2015,"['Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy']"
Remember,2015-12-17,2015,"['Christopher Plummer', 'Kim Roberts', 'Amanda Smith']"
Star Wars: Episode VII - The Force Awakens,2015-12-18,2015,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher']"
Alvin and the Chipmunks: The Road Chip,2015-12-18,2015,"['Jason Lee', 'Justin Long', 'Matthew Gray Gubler']"
The Big Short,2015-12-23,2015,"['Ryan Gosling', 'Rudy Eisenzopf', 'Casey Groves']"
Point Break,2015-12-25,2015,"['Patrick Swayze', 'Keanu Reeves', 'Gary Busey']"
Concussion,2015-12-25,2015,"['Will Smith', 'Alec Baldwin', 'Albert Brooks']"
The Hateful Eight,2015-12-30,2015,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh']"
The Revenant,2016-01-08,2015,"['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson']"
The Forest,2016-01-08,2016,"['Samuel Labarthe', 'Suzanne Clément', 'Alexia Barlier']"
Norm of the North,2016-01-15,2015,"['Rob Schneider', 'Heather Graham', 'Ken Jeong']"
Ride Along 2,2016-01-15,2016,"['Ice Cube', 'Kevin Hart', 'Tika Sumpter']"
13 Hours,2016-01-15,2016,"['John Krasinski', 'James Badge Dale', 'Pablo Schreiber']"
The Danish Girl,2016-01-22,2015,"['Alicia Vikander', 'Eddie Redmayne', 'Tusse Silberg']"
The Boy,2016-01-22,2016,"['Lauren Cohan', 'Rupert Evans', 'James Russell']"
The Masked Saint,2016-01-22,2016,"['Brett Granstaff', 'Lara Jean Chorostecki', 'T.J. McGibbon']"
The 5th Wave,2016-01-22,2016,"['Chloë Grace Moretz', 'Matthew Zuk', 'Gabriela Lopez']"
Lazer Team,2016-01-27,2015,"['Burnie Burns', 'Gavin Free', 'Michael Jones']"
Jane Got a Gun,2016-01-29,2015,"['Natalie Portman', 'Joel Edgerton', 'Ewan McGregor']"
The Finest Hours,2016-01-29,2016,"['Chris Pine', 'Casey Affleck', 'Ben Foster']"
Kung Fu Panda 3,2016-01-29,2016,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman']"
Pride and Prejudice and Zombies,2016-02-05,2016,"['Lily James', 'Sam Riley', 'Bella Heathcote']"
"Hail, Caesar!",2016-02-05,2016,"['Josh Brolin', 'George Clooney', 'Alden Ehrenreich']"
Mei ren yu,2016-02-08,2016,"['Chao Deng', 'Show Lo', 'Yuqi Zhang']"
Freeheld,2016-02-10,2015,"['Julianne Moore', 'Elliot Page', 'Michael Shannon']"
Deadpool,2016-02-12,2016,"['Ryan Reynolds', 'Karan Soni', 'Ed Skrein']"
How to Be Single,2016-02-12,2016,"['Dakota Johnson', 'Rebel Wilson', 'Leslie Mann']"
Risen,2016-02-19,2016,"['Joseph Fiennes', 'Tom Felton', 'Peter Firth']"
Race,2016-02-19,2016,"['Stephan James', 'Jason Sudeikis', 'Eli Goree']"
Triple 9,2016-02-26,2016,"['Chiwetel Ejiofor', 'Casey Affleck', 'Anthony Mackie']"
Eddie the Eagle,2016-02-26,2015,"['Tom Costello', 'Jo Hartley', 'Keith Allen']"
Gods of Egypt,2016-02-26,2016,"['Brenton Thwaites', 'John Samaha', 'Courtney Eaton']"
Zootopia,2016-03-04,2016,"['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba']"
Whiskey Tango Foxtrot,2016-03-04,2016,"['Tina Fey', 'Margot Robbie', 'Martin Freeman']"
Anomalisa,2016-03-11,2015,"['David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']"
10 Cloverfield Lane,2016-03-11,2016,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.']"
Miracles from Heaven,2016-03-16,2016,"['Jennifer Garner', 'Kylie Rogers', 'Martin Henderson']"
The Bronze,2016-03-18,2015,"['Melissa Rauch', 'Gary Cole', 'Thomas Middleditch']"
Batman v Superman: Dawn of Justice,2016-03-25,2016,"['Ben Affleck', 'Henry Cavill', 'Amy Adams']"
Born to Be Blue,2016-03-30,2015,"['Ethan Hawke', 'Carmen Ejogo', 'Callum Keith Rennie']"
Compadres,2016-03-31,2016,"['Jack Lemmon', 'Walter Matthau', 'Paula Prentiss']"
"Hello, My Name Is Doris",2016-04-01,2015,"['Sally Field', 'Edmund Lupinski', 'Norma Michaels']"
Eye in the Sky,2016-04-01,2015,"['Faisa Hassan', 'Aisha Takow', 'Armaan Haggio']"
I Saw the Light,2016-04-01,2015,"['Tom Hiddleston', 'Elizabeth Olsen', 'Bradley Whitford']"
Hardcore Henry,2016-04-08,2015,"['Sharlto Copley', 'Danila Kozlovskiy', 'Haley Bennett']"
Mr. Right,2016-04-08,2015,"['Sam Rockwell', 'Anna Kendrick', 'Tim Roth']"
Desierto,2016-04-13,2015,"['Gael García Bernal', 'Jeffrey Dean Morgan', 'Alondra Hidalgo']"
Criminal,2016-04-15,2016,"['Katherine Kelly', 'Lee Ingleby', 'Rochenda Sandall']"
The Jungle Book,2016-04-15,2016,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']"
Midnight Special,2016-04-20,2016,"['Michael Shannon', 'Joel Edgerton', 'Kirsten Dunst']"
The Huntsman: Winter's War,2016-04-22,2016,"['Chris Hemsworth', 'Charlize Theron', 'Jessica Chastain']"
Desert Dancer,2016-04-22,2014,"['Nazanin Boniadi', 'Freida Pinto', 'Marama Corlett']"
Mother's Day,2016-04-29,2016,"['Nancy Hendrickson', 'Deborah Luce', 'Tiana Pierce']"
Ratchet & Clank,2016-04-29,2016,"['Paul Giamatti', 'John Goodman', 'Bella Thorne']"
Keanu,2016-04-29,2016,"['Jordan Peele', 'Keegan-Michael Key', 'Tiffany Haddish']"
Term Life,2016-04-29,2016,"['Vince Vaughn', 'Hailee Steinfeld', 'Bill Paxton']"
Captain America: Civil War,2016-05-06,2016,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']"
Money Monster,2016-05-13,2016,"['George Clooney', 'Julia Roberts', ""Jack O'Connell""]"
The Nice Guys,2016-05-20,2016,"['Russell Crowe', 'Ryan Gosling', 'Angourie Rice']"
Equals,2016-05-26,2015,"['Nicholas Hoult', 'Vernetta Lopez', 'Scott Lawrence']"
Alice Through the Looking Glass,2016-05-27,2016,"['Johnny Depp', 'Mia Wasikowska', 'Helena Bonham Carter']"
X-Men: Apocalypse,2016-05-27,2016,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']"
A Hologram for the King,2016-06-01,2016,"['Tom Hanks', 'Omar Elba', 'Sarita Choudhury']"
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-03,2016,"['Megan Fox', 'Will Arnett', 'Laura Linney']"
The Meddler,2016-06-03,2015,"['Susan Sarandon', 'Rose Byrne', 'J.K. Simmons']"
Love & Friendship,2016-06-03,2016,"['Kate Beckinsale', 'Morfydd Clark', 'Tom Bennett']"
Now You See Me 2,2016-06-10,2016,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']"
The Conjuring 2,2016-06-10,2016,"['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe']"
Warcraft,2016-06-10,2016,"['Travis Fimmel', 'Paula Patton', 'Ben Foster']"
Central Intelligence,2016-06-17,2016,"['Dwayne Johnson', 'Kevin Hart', 'Amy Ryan']"
Finding Dory,2016-06-17,2016,"['Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill""]"
The Shallows,2016-06-24,2016,"['Blake Lively', 'Óscar Jaenada', 'Angelo Josue Lozano Corzo']"
Vigilante Diaries,2016-06-24,2016,"['Paul Sloan', ""Quinton 'Rampage' Jackson"", 'Jason Mewes']"
Independence Day: Resurgence,2016-06-24,2016,"['Liam Hemsworth', 'Jeff Goldblum', 'Jessie T. Usher']"
Free State of Jones,2016-06-24,2016,"['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali']"
L.A. Slasher,2016-06-28,2015,"['Andy Dick', 'Mischa Barton', 'Eric Roberts']"
Swiss Army Man,2016-07-01,2016,"['Paul Dano', 'Daniel Radcliffe', 'Mary Elizabeth Winstead']"
The Purge: Election Year,2016-07-01,2016,"['Frank Grillo', 'Elizabeth Mitchell', 'Mykelti Williamson']"
The BFG,2016-07-01,2016,"['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton']"
The Legend of Tarzan,2016-07-01,2016,"['Alexander Skarsgård', 'Rory J. Saper', 'Christian Stevens']"
The Secret Life of Pets,2016-07-08,2016,"['Louis C.K.', 'Eric Stonestreet', 'Kevin Hart']"
The Infiltrator,2016-07-13,2016,"['Bryan Cranston', 'Leanne Best', 'Daniel Mays']"
Ghostbusters,2016-07-15,2016,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']"
Hillary's America: The Secret History of the Democratic Party,2016-07-22,2016,"[""Dinesh D'Souza"", 'Jonah Goldberg', 'David Guyette']"
Star Trek Beyond,2016-07-22,2016,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']"
Lights Out,2016-07-22,2016,"['Teresa Palmer', 'Gabriel Bateman', 'Alexander DiPersia']"
Ice Age: Collision Course,2016-07-22,2016,"['Stephanie Beatriz', 'Robert Cardone', 'Neil deGrasse Tyson']"
Nerve,2016-07-27,2016,"['Emma Roberts', 'Dave Franco', 'Emily Meade']"
Suicide Squad,2016-08-05,2016,"['Will Smith', 'Jaime FitzSimons', 'Ike Barinholtz']"
Café Society,2016-08-05,2016,"['Steve Carell', 'Sheryl Lee', 'Todd Weeks']"
Nine Lives,2016-08-05,2016,"['Kevin Spacey', 'Jennifer Garner', 'Robbie Amell']"
Sausage Party,2016-08-12,2016,"['Alistair Abell', 'Iris Apatow', 'Sugar Lyn Beard']"
Florence Foster Jenkins,2016-08-12,2016,"['Meryl Streep', 'Hugh Grant', 'Simon Helberg']"
Pete's Dragon,2016-08-12,2016,"['Bryce Dallas Howard', 'Robert Redford', 'Oakes Fegley']"
Kubo and the Two Strings,2016-08-19,2016,"['Art Parkinson', 'Charlize Theron', 'Brenda Vaccaro']"
A Tale of Love and Darkness,2016-08-19,2015,"['Natalie Portman', 'Gilad Kahana', 'Amir Tessler']"
Ben-Hur,2016-08-19,2016,"['Charlton Heston', 'Jack Hawkins', 'Haya Harareet']"
War Dogs,2016-08-19,2016,"['Miles Teller', 'Steve Lantz', 'Gregg Weiner']"
The Sea of Trees,2016-08-26,2015,"['Matthew McConaughey', 'Ryoko Seta', 'Sienna Tow']"
Hell or High Water,2016-08-26,2016,"['Dale Dickey', 'Ben Foster', 'Chris Pine']"
The Hollars,2016-08-26,2016,"['Margo Martindale', 'Sharlto Copley', 'Richard Jenkins']"
Hands of Stone,2016-08-26,2016,"['Edgar Ramírez', 'Robert De Niro', 'Usher']"
Don't Breathe,2016-08-26,2016,"['Stephen Lang', 'Jane Levy', 'Dylan Minnette']"
Greater,2016-08-26,2016,"['Neal McDonough', 'Leslie Easterbrook', 'Christopher Severio']"
Mechanic: Resurrection,2016-08-26,2016,"['Jason Statham', 'Jessica Alba', 'Tommy Lee Jones']"
Southside with You,2016-08-26,2016,"['Tika Sumpter', 'Parker Sawyers', 'Vanessa Bell Calloway']"
Morgan,2016-09-02,2016,"['Kate Mara', 'Anya Taylor-Joy', 'Rose Leslie']"
The Disappointments Room,2016-09-09,2016,"['Kate Beckinsale', 'Mel Raido', 'Duncan Joiner']"
Snowden,2016-09-16,2016,"['Melissa Leo', 'Zachary Quinto', 'Joseph Gordon-Levitt']"
Wild Oats,2016-09-16,2016,"['Shirley MacLaine', 'Jessica Lange', 'Demi Moore']"
Hillsong: Let Hope Rise,2016-09-16,2016,"['Michael Guy Chislett', 'Matt Crocker', 'Adam Crosariol']"
Bridget Jones's Baby,2016-09-16,2016,"['Renée Zellweger', 'Gemma Jones', 'Jim Broadbent']"
Blair Witch,2016-09-16,2016,"['James Allen McCune', 'Callie Hernandez', 'Corbin Reid']"
Storks,2016-09-23,2016,"['Andy Samberg', 'Katie Crown', 'Kelsey Grammer']"
The Magnificent Seven,2016-09-23,2016,"['Denzel Washington', 'Chris Pratt', 'Ethan Hawke']"
Deepwater Horizon,2016-09-30,2016,"['Mark Wahlberg', 'Kurt Russell', 'Douglas M. Griffin']"
Queen of Katwe,2016-09-30,2016,"['Madina Nalwanga', 'David Oyelowo', ""Lupita Nyong'o""]"
Masterminds,2016-09-30,2016,"['Zach Galifianakis', 'Kristen Wiig', 'Owen Wilson']"
Miss Peregrine's Home for Peculiar Children,2016-09-30,2016,"['Eva Green', 'Asa Butterfield', 'Samuel L. Jackson']"
The Monster,2016-10-06,2016,"['Zoe Kazan', 'Ella Ballentine', 'Aaron Douglas']"
Middle School: The Worst Years of My Life,2016-10-07,2016,"['Griffin Gluck', 'Lauren Graham', 'Alexa Nisenson']"
The Birth of a Nation,2016-10-07,2016,"['Lillian Gish', 'Mae Marsh', 'Henry B. Walthall']"
The Girl on the Train,2016-10-07,2016,"['Emily Blunt', 'Haley Bennett', 'Rebecca Ferguson']"
Max Steel,2016-10-14,2016,"['Ben Winchell', 'Josh Brener', 'Maria Bello']"
The Accountant,2016-10-14,2016,"['Ben Affleck', 'Anna Kendrick', 'J.K. Simmons']"
Boo! A Madea Halloween,2016-10-21,2016,"['Tyler Perry', 'Cassi Davis', 'Patrice Lovely']"
Ouija: Origin of Evil,2016-10-21,2016,"['Annalise Basso', 'Elizabeth Reaser', 'Lulu Wilson']"
Inferno,2016-10-28,2016,"['Tom Hanks', 'Felicity Jones', 'Omar Sy']"
Trolls,2016-11-04,2016,"['Anna Kendrick', 'Justin Timberlake', 'Zooey Deschanel']"
Doctor Strange,2016-11-04,2016,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']"
Hacksaw Ridge,2016-11-04,2016,"['Andrew Garfield', 'Richard Pyros', 'Jacob Warner']"
Loving,2016-11-04,2016,"['María Pedraza', 'Pol Monen', 'Natalia Tena']"
Elle,2016-11-11,2016,"['Joaquin Phoenix', 'Lynn Adrianna Freedman', 'Lisa Renee Pitts']"
Shut In,2016-11-11,2016,"['Rory Culkin', 'Leticia Jimenez', 'Jack Kesy']"
Bleed for This,2016-11-18,2016,"['Miles Teller', 'Aaron Eckhart', 'Katey Sagal']"
Billy Lynn's Long Halftime Walk,2016-11-18,2016,"['Joe Alwyn', 'Garrett Hedlund', 'Arturo Castro']"
Fantastic Beasts and Where to Find Them,2016-11-18,2016,"['Eddie Redmayne', 'Sam Redford', 'Scott Goldman']"
Bad Santa 2,2016-11-23,2016,"['Billy Bob Thornton', 'Kathy Bates', 'Tony Cox']"
Allied,2016-11-23,2016,"['Brad Pitt', 'Vincent Ebrahim', 'Xavier de Guillebon']"
Rules Don't Apply,2016-11-23,2016,"['Steve Tom', 'Paul Sorvino', 'Peter Mackenzie']"
Moana,2016-11-23,2016,"[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House']"
Hacker,2016-12-02,2016,"['Chris Hemsworth', 'Leehom Wang', 'Tang Wei']"
Jackie,2016-12-02,2016,"['Natalie Portman', 'Peter Sarsgaard', 'Greta Gerwig']"
Julieta,2016-12-21,2016,"['Emma Suárez', 'Adriana Ugarte', 'Daniel Grao']"
Sing,2016-12-21,2016,"['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane']"
Passengers,2016-12-21,2016,"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen']"
Assassin's Creed,2016-12-21,2016,"['Michael Fassbender', 'Marion Cotillard', 'Jeremy Irons']"
La La Land,2016-12-25,2016,"['Ryan Gosling', 'Emma Stone', 'Amiee Conn']"
Paterson,2016-12-28,2016,"['Adam Driver', 'Golshifteh Farahani', 'Nellie']"
A Monster Calls,2017-01-06,2016,"['Lewis MacDougall', 'Sigourney Weaver', 'Felicity Jones']"
Hidden Figures,2017-01-06,2016,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe']"
Underworld: Blood Wars,2017-01-06,2016,"['Kate Beckinsale', 'Theo James', 'Tobias Menzies']"
Patriots Day,2017-01-13,2016,"['Mark Wahlberg', 'Dicky Eklund Jr.', 'Michael Marchand']"
Sleepless,2017-01-13,2017,"['Jamie Foxx', 'Michelle Monaghan', 'Scoot McNairy']"
Live by Night,2017-01-13,2016,"['Ben Affleck', 'Elle Fanning', 'Remo Girone']"
Monster Trucks,2017-01-13,2016,"['Lucas Till', 'Jane Levy', 'Thomas Lennon']"
The Bye Bye Man,2017-01-13,2017,"['Douglas Smith', 'Lucien Laviscount', 'Cressida Bonas']"
The Resurrection of Gavin Stone,2017-01-20,2017,"['Brett Dalton', 'Anjelah Johnson-Reyes', 'Neil Flynn']"
xXx: Return of Xander Cage,2017-01-20,2017,"['Vin Diesel', 'Donnie Yen', 'Deepika Padukone']"
Gold,2017-01-27,2016,"['Matthew McConaughey', 'Edgar Ramírez', 'Bryce Dallas Howard']"
Resident Evil: The Final Chapter,2017-01-27,2016,"['Milla Jovovich', 'Iain Glen', 'Ali Larter']"
A Dog's Purpose,2017-01-27,2017,"['Josh Gad', 'Dennis Quaid', 'Peggy Lipton']"
Rings,2017-02-03,2017,"['Matilda Anna Ingrid Lutz', 'Alex Roe', 'Johnny Galecki']"
The Space Between Us,2017-02-03,2017,"['Gary Oldman', 'Janet Montgomery', 'Trey Tucker']"
The Comedian,2017-02-03,2016,"['Robert De Niro', 'Leslie Mann', 'Harvey Keitel']"
A United Kingdom,2017-02-10,2016,"['David Oyelowo', 'Rosamund Pike', 'Tom Felton']"
John Wick: Chapter 2,2017-02-10,2017,"['Keanu Reeves', 'Riccardo Scamarcio', 'Ian McShane']"
The Lego Batman Movie,2017-02-10,2017,"['Will Arnett', 'Michael Cera', 'Rosario Dawson']"
A Cure for Wellness,2017-02-17,2016,"['Dane DeHaan', 'Jason Isaacs', 'Mia Goth']"
The Great Wall,2017-02-17,2016,"['Matt Damon', 'Tian Jing', 'Willem Dafoe']"
Get Out,2017-02-24,2017,"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener']"
Bitter Harvest,2017-02-24,2017,"['Aneurin Barnard', 'Barry Pepper', 'Terence Stamp']"
