title,release,startYear,top3_actors
Extremely Loud & Incredibly Close,2012-01-20,2011,"['Tom Hanks', 'Thomas Horn', 'Sandra Bullock']"
Haywire,2012-01-20,2011,"['Gina Carano', 'Michael Angarano', 'Channing Tatum']"
Red Tails,2012-01-20,2012,"['Terrence Howard', 'Cuba Gooding Jr.', 'Nate Parker']"
The Artist,2012-01-20,2011,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman']"
One for the Money,2012-01-27,2012,"['Katherine Heigl', ""Jason O'Mara"", 'Daniel Sunjata']"
Man on a Ledge,2012-01-27,2012,"['Sam Worthington', 'Mandy Gonzalez', 'William Sadler']"
The Grey,2012-01-27,2011,"['Liam Neeson', 'Frank Grillo', 'Dermot Mulroney']"
Big Miracle,2012-02-03,2012,"['John Pingayak', 'Ahmaogak Sweeney', 'John Chase']"
Chronicle,2012-02-03,2012,"['Dane DeHaan', 'Alex Russell', 'Michael B. Jordan']"
The Woman in Black,2012-02-03,2012,"['Emma Shorey', 'Molly Harmon', 'Ellisa Walker-Reid']"
Journey 2: The Mysterious Island,2012-02-10,2012,"['Dwayne Johnson', 'Michael Caine', 'Josh Hutcherson']"
In the Land of Blood and Honey,2012-02-16,2011,"['Zana Marjanovic', 'Goran Kostic', 'Rade Serbedzija']"
Ghost Rider: Spirit of Vengeance,2012-02-17,2011,"['Nicolas Cage', 'Violante Placido', 'Ciarán Hinds']"
This Means War,2012-02-17,2012,"['Reese Witherspoon', 'Chris Pine', 'Tom Hardy']"
Act of Valor,2012-02-24,2012,"['Rorke Denver', 'Dave', 'Sonny']"
The Lorax,2012-03-02,2012,"['Danny DeVito', 'Ed Helms', 'Zac Efron']"
Red Lights,2012-03-02,2012,"['Cillian Murphy', 'Sigourney Weaver', 'Robert De Niro']"
The Decoy Bride,2012-03-09,2011,"['Danny Bage', 'Dylan Moran', 'Hannah Bourne']"
John Carter,2012-03-09,2012,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']"
Silent House,2012-03-09,2011,"['Elizabeth Olsen', 'Adam Trese', 'Eric Sheffer Stevens']"
Friends with Kids,2012-03-16,2011,"['Adam Scott', 'Jennifer Westfeldt', 'Maya Rudolph']"
21 Jump Street,2012-03-16,2012,"['Jonah Hill', 'Channing Tatum', 'Brie Larson']"
Bellflower,2012-03-21,2011,"['Evan Glodell', 'Jessie Wiseman', 'Tyler Dawson']"
The Hunger Games,2012-03-23,2012,"['Stanley Tucci', 'Wes Bentley', 'Jennifer Lawrence']"
Mirror Mirror,2012-03-30,2012,"['Julia Roberts', 'Lily Collins', 'Armie Hammer']"
Wrath of the Titans,2012-03-30,2012,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes']"
Machine Gun Preacher,2012-04-07,2011,"['Gerard Butler', 'Michelle Monaghan', 'Kathy Baker']"
The Cabin in the Woods,2012-04-13,2011,"['Kristen Connolly', 'Chris Hemsworth', 'Anna Hutchison']"
Lockout,2012-04-13,2012,"['Guy Pearce', 'Maggie Grace', 'Vincent Regan']"
Touchback,2012-04-13,2011,"['Brian Presley', 'Melanie Lynskey', 'Kurt Russell']"
The Lucky One,2012-04-20,2012,"['Zac Efron', 'Taylor Schilling', 'Blythe Danner']"
The Samaritan,2012-04-20,2012,"['Samuel L. Jackson', 'Luke Kirby', 'Ruth Negga']"
The Raven,2012-04-27,2012,"['Vanessa Aspillaga', 'Lylan Carson', 'Michael Cyril Creighton']"
Safe,2012-04-27,2012,"['Michael C. Hall', 'Amy James-Kelly', 'Amanda Abbington']"
The Avengers,2012-05-04,2012,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
Kill the Irishman,2012-05-11,2011,"['Ray Stevenson', ""Vincent D'Onofrio"", 'Val Kilmer']"
The Road,2012-05-11,2011,"['Viggo Mortensen', 'Kodi Smit-McPhee', 'Robert Duvall']"
Dark Shadows,2012-05-11,2012,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter']"
Battleship,2012-05-18,2012,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']"
What to Expect When You're Expecting,2012-05-18,2012,"['Cameron Diaz', 'Jennifer Lopez', 'Elizabeth Banks']"
On the Road,2012-05-23,2012,"['Sam Riley', 'Garrett Hedlund', 'Kristen Stewart']"
Cosmopolis,2012-05-25,2012,"['Robert Pattinson', 'Sarah Gadon', 'Paul Giamatti']"
The Best Exotic Marigold Hotel,2012-05-25,2011,"['Judi Dench', 'Tom Wilkinson', 'Patrick Pearson']"
Men in Black 3,2012-05-25,2012,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']"
Chernobyl Diaries,2012-05-25,2012,"['Ingrid Bolsø Berdal', 'Dimitri Diatchenko', 'Olivia Taylor Dudley']"
Snow White and the Huntsman,2012-06-01,2012,"['Kristen Stewart', 'Chris Hemsworth', 'Charlize Theron']"
For Greater Glory: The True Story of Cristiada,2012-06-01,2012,"['Mauricio Kuri', 'Adrian Alonso', 'Rubén Blades']"
Madagascar 3: Europe's Most Wanted,2012-06-08,2012,"['Ben Stiller', 'Chris Rock', 'David Schwimmer']"
Prometheus,2012-06-08,2012,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron']"
Safety Not Guaranteed,2012-06-15,2012,"['Aubrey Plaza', 'Lauren Carlos', 'Basil Harris']"
Rock of Ages,2012-06-15,2012,"['Julianne Hough', 'Dakota Sage Grant', 'Matthew Rush Sullivan']"
Bernie,2012-06-22,2011,"['Jack Black', 'Shirley MacLaine', 'Matthew McConaughey']"
The Last Ride,2012-06-22,2011,"['Tommy Lee Jones', 'Cate Blanchett', 'Evan Rachel Wood']"
Abraham Lincoln: Vampire Hunter,2012-06-22,2012,"['Benjamin Walker', 'Dominic Cooper', 'Anthony Mackie']"
Lay the Favorite,2012-06-22,2012,"['Rebecca Hall', 'Joel Murray', 'Hugo Armstrong']"
Brave,2012-06-22,2012,"['Kelly Macdonald', 'Billy Connolly', 'Emma Thompson']"
Seeking a Friend for the End of the World,2012-06-22,2012,"['Steve Carell', 'Keira Knightley', 'Adam Brody']"
Your Sister's Sister,2012-06-29,2011,"['Michael Harring', 'Mark Duplass', 'Mike Birbiglia']"
Madea's Witness Protection,2012-06-29,2012,"['Tyler Perry', 'Eugene Levy', 'Denise Richards']"
Killer Joe,2012-06-29,2011,"['Matthew McConaughey', 'Emile Hirsch', 'Juno Temple']"
Moonrise Kingdom,2012-06-29,2012,"['Bruce Willis', 'Edward Norton', 'Bill Murray']"
The Amazing Spider-Man,2012-07-03,2012,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']"
Beasts of the Southern Wild,2012-07-05,2012,"['Quvenzhané Wallis', 'Dwight Henry', 'Levy Easterly']"
Ice Age: Continental Drift,2012-07-13,2012,"['Aziz Ansari', 'Joy Behar', 'Christopher Campbell']"
Step Up Revolution,2012-07-27,2012,"['Cleopatra Coleman', 'Ryan Guzman', 'Misha Gabriel Hamilton']"
Total Recall,2012-08-03,2012,"['Arnold Schwarzenegger', 'Rachel Ticotin', 'Sharon Stone']"
Sound of My Voice,2012-08-03,2011,"['Christopher Denham', 'Nicole Vicius', 'Brit Marling']"
Hope Springs,2012-08-08,2012,"['Meryl Streep', 'Tommy Lee Jones', 'Steve Carell']"
The Sapphires,2012-08-09,2012,"['Tanika Lonesborough', 'Nioka Brennan', 'Lynette Narkle']"
The Bourne Legacy,2012-08-10,2012,"['Jeremy Renner', 'Scott Glenn', 'Stacy Keach']"
The Odd Life of Timothy Green,2012-08-15,2012,"['Jennifer Garner', 'Joel Edgerton', 'CJ Adams']"
"Peace, Love & Misunderstanding",2012-08-16,2011,"['Kyle MacLachlan', 'Catherine Keener', 'Joseph Dunn']"
The Expendables 2,2012-08-17,2012,"['Sylvester Stallone', 'Jason Statham', 'Jet Li']"
ParaNorman,2012-08-17,2012,"['Kodi Smit-McPhee', 'Tucker Albrizzi', 'Anna Kendrick']"
Hit and Run,2012-08-22,2012,"['Kristen Bell', 'Dax Shepard', 'Tom Arnold']"
Premium Rush,2012-08-24,2012,"['Joseph Gordon-Levitt', 'Dania Ramirez', 'Sean Kennedy']"
The Oogieloves in the Big Balloon Adventure,2012-08-29,2012,"['Misty Miller', 'Stephanie Renz', 'Malerie Grady']"
The Possession,2012-08-31,2012,"['Jeffrey Dean Morgan', 'Kyra Sedgwick', 'Natasha Calis']"
